run,type,module,name,attrname,attrvalue,value
scenario_100-0-20210826-14:48:07-7428,param,,,**.frameLength,10,
scenario_100-0-20210826-14:48:07-7428,param,,,**.wlan[*].mac.headerLength,23B,
scenario_100-0-20210826-14:48:07-7428,param,,,**.wlan[*].mac.ackTimeout,1.99ms,
scenario_100-0-20210826-14:48:07-7428,param,,,**.wlan[*].mac.numRetries,0,
scenario_100-0-20210826-14:48:07-7428,param,,,**.rlc.typename,"""DummyRlc""",
scenario_100-0-20210826-14:48:07-7428,param,,,*.aircraft[*].numApps,1,
scenario_100-0-20210826-14:48:07-7428,param,,,*.aircraft[*].app[*].typename,"""UdpTraceBasedApp""",
scenario_100-0-20210826-14:48:07-7428,param,,,*.aircraft[*].app[0].destAddresses,"""groundStation""",
scenario_100-0-20210826-14:48:07-7428,param,,,*.aircraft[*].app[0].traceFile,"""Simulation_data_100_aircraft/data-traffic/data_aircraft_"" + string(parentIndex()) + "".csv""",
scenario_100-0-20210826-14:48:07-7428,param,,,*.aircraft[*].app[0].destPort,1000,
scenario_100-0-20210826-14:48:07-7428,param,,,*.aircraft[*].app[0].messageLength,1000B,
scenario_100-0-20210826-14:48:07-7428,param,,,*.groundStation.numApps,1,
scenario_100-0-20210826-14:48:07-7428,param,,,*.groundStation.app[*].typename,"""UdpSink""",
scenario_100-0-20210826-14:48:07-7428,param,,,*.groundStation.app[*].localPort,1000,
scenario_100-1-20210826-14:48:07-19840,runattr,,,configname,scenario_100,
scenario_100-1-20210826-14:48:07-19840,runattr,,,datetime,20210826-14:48:07,
scenario_100-1-20210826-14:48:07-19840,runattr,,,experiment,scenario_100,
scenario_100-1-20210826-14:48:07-19840,runattr,,,inifile,omnet-summit.ini,
scenario_100-1-20210826-14:48:07-19840,runattr,,,iterationvars,,
scenario_100-1-20210826-14:48:07-19840,runattr,,,iterationvarsf,,
scenario_100-1-20210826-14:48:07-19840,runattr,,,measurement,,
scenario_100-1-20210826-14:48:07-19840,runattr,,,network,example_simulation,
scenario_100-1-20210826-14:48:07-19840,runattr,,,processid,19840,
scenario_100-1-20210826-14:48:07-19840,runattr,,,repetition,1,
scenario_100-1-20210826-14:48:07-19840,runattr,,,replication,#1,
scenario_100-1-20210826-14:48:07-19840,runattr,,,resultdir,results,
scenario_100-1-20210826-14:48:07-19840,runattr,,,runnumber,1,
scenario_100-1-20210826-14:48:07-19840,runattr,,,seedset,1,
scenario_100-1-20210826-14:48:07-19840,param,,,**.aircraft[*].mobility.constraintAreaMinX,0m,
scenario_100-1-20210826-14:48:07-19840,param,,,**.aircraft[*].mobility.constraintAreaMaxX,3000000m,
scenario_100-1-20210826-14:48:07-19840,param,,,**.aircraft[*].mobility.constraintAreaMinY,0m,
scenario_100-1-20210826-14:48:07-19840,param,,,**.aircraft[*].mobility.constraintAreaMaxY,1000000m,
scenario_100-1-20210826-14:48:07-19840,param,,,**.aircraft[*].mobility.constraintAreaMinZ,0m,
scenario_100-1-20210826-14:48:07-19840,param,,,**.aircraft[*].mobility.constraintAreaMaxZ,18000m,
scenario_100-1-20210826-14:48:07-19840,param,,,**.aircraft[*].mobility.typename,"""BonnMotionMobility""",
scenario_100-1-20210826-14:48:07-19840,param,,,**.aircraft[*].mobility.traceFile,"""Simulation_data_100_aircraft/mobility.txt""",
scenario_100-1-20210826-14:48:07-19840,param,,,**.aircraft[*].mobility.is3D,true,
scenario_100-1-20210826-14:48:07-19840,param,,,**.aircraft[*].mobility.nodeId,-1,
scenario_100-1-20210826-14:48:07-19840,param,,,*.scenarioManager.script,"xmldoc(""Simulation_data_100_aircraft/scenario.xml"")",
scenario_100-1-20210826-14:48:07-19840,param,,,**.ipv4.arp.typename,"""GlobalArp""",
scenario_100-1-20210826-14:48:07-19840,param,,,**.**.bitrate,100Mbps,
scenario_100-1-20210826-14:48:07-19840,param,,,**.configurator.typename,"""HostAutoConfigurator""",
scenario_100-1-20210826-14:48:07-19840,param,,,**.configurator.interfaces,"""wlan0""",
scenario_100-1-20210826-14:48:07-19840,param,,,**.wlan[0].radio.transmitter.communicationRange,800000m,
scenario_100-1-20210826-14:48:07-19840,param,,,**.wlan[0].radio.receiver.ignoreInterference,true,
scenario_100-1-20210826-14:48:07-19840,param,,,**.wlan[*].radio.transmitter.interferenceRange,0m,
scenario_100-1-20210826-14:48:07-19840,param,,,**.wlan[*].radio.transmitter.detectionRange,800000m,
scenario_100-1-20210826-14:48:07-19840,param,,,**.wlan[0].radio.typename,"""TraceBasedRadio""",
scenario_100-1-20210826-14:48:07-19840,param,,,**.wlan[0].radio.receiver.Receiver_bandwidth_in_KHz,500,
scenario_100-1-20210826-14:48:07-19840,param,,,**.wlan[0].radio.receiver.Tx_power,42,
scenario_100-1-20210826-14:48:07-19840,param,,,**.wlan[0].radio.receiver.Tx_antenna_gain,3,
scenario_100-1-20210826-14:48:07-19840,param,,,**.wlan[0].radio.receiver.Rx_antenna_gain,3,
scenario_100-1-20210826-14:48:07-19840,param,,,**.wlan[0].radio.receiver.Tx_loss,4,
scenario_100-1-20210826-14:48:07-19840,param,,,**.wlan[0].radio.receiver.Rx_loss,4,
scenario_100-1-20210826-14:48:07-19840,param,,,**.wlan[0].radio.receiver.Noise_figure,6,
scenario_100-1-20210826-14:48:07-19840,param,,,**.wlan[0].radio.receiver.Thermal_noise_density,-174,
scenario_100-1-20210826-14:48:07-19840,param,,,**.wlan[0].radio.receiver.frequency,960,
scenario_100-1-20210826-14:48:07-19840,param,,,**.wlan[0].radio.receiver.SNR_margin,0,
scenario_100-1-20210826-14:48:07-19840,param,,,**.wlan[0].radio.receiver.errorModel.TraceFileName,"""per_snr.txt""",
scenario_100-1-20210826-14:48:07-19840,param,,,**.wlan[*].typename,"""TdmaInterface""",
scenario_100-1-20210826-14:48:07-19840,param,,,**.slotDuration,2ms,
scenario_100-1-20210826-14:48:07-19840,param,,,**.frameLength,10,
scenario_100-1-20210826-14:48:07-19840,param,,,**.wlan[*].mac.headerLength,23B,
scenario_100-1-20210826-14:48:07-19840,param,,,**.wlan[*].mac.ackTimeout,1.99ms,
scenario_100-1-20210826-14:48:07-19840,param,,,**.wlan[*].mac.numRetries,0,
scenario_100-1-20210826-14:48:07-19840,param,,,**.rlc.typename,"""DummyRlc""",
scenario_100-1-20210826-14:48:07-19840,param,,,*.aircraft[*].numApps,1,
scenario_100-1-20210826-14:48:07-19840,param,,,*.aircraft[*].app[*].typename,"""UdpTraceBasedApp""",
scenario_100-1-20210826-14:48:07-19840,param,,,*.aircraft[*].app[0].destAddresses,"""groundStation""",
scenario_100-1-20210826-14:48:07-19840,param,,,*.aircraft[*].app[0].traceFile,"""Simulation_data_100_aircraft/data-traffic/data_aircraft_"" + string(parentIndex()) + "".csv""",
scenario_100-1-20210826-14:48:07-19840,param,,,*.aircraft[*].app[0].destPort,1000,
scenario_100-1-20210826-14:48:07-19840,param,,,*.aircraft[*].app[0].messageLength,1000B,
scenario_100-1-20210826-14:48:07-19840,param,,,*.groundStation.numApps,1,
scenario_100-1-20210826-14:48:07-19840,param,,,*.groundStation.app[*].typename,"""UdpSink""",
scenario_100-1-20210826-14:48:07-19840,param,,,*.groundStation.app[*].localPort,1000,
scenario_100-7-20210826-14:48:38-13880,runattr,,,configname,scenario_100,
scenario_100-7-20210826-14:48:38-13880,runattr,,,datetime,20210826-14:48:38,
scenario_100-7-20210826-14:48:38-13880,runattr,,,experiment,scenario_100,
scenario_100-7-20210826-14:48:38-13880,runattr,,,inifile,omnet-summit.ini,
scenario_100-7-20210826-14:48:38-13880,runattr,,,iterationvars,,
scenario_100-7-20210826-14:48:38-13880,runattr,,,iterationvarsf,,
scenario_100-7-20210826-14:48:38-13880,runattr,,,measurement,,
scenario_100-7-20210826-14:48:38-13880,runattr,,,network,example_simulation,
scenario_100-7-20210826-14:48:38-13880,runattr,,,processid,13880,
scenario_100-7-20210826-14:48:38-13880,runattr,,,repetition,7,
scenario_100-7-20210826-14:48:38-13880,runattr,,,replication,#7,
scenario_100-7-20210826-14:48:38-13880,runattr,,,resultdir,results,
scenario_100-7-20210826-14:48:38-13880,runattr,,,runnumber,7,
scenario_100-7-20210826-14:48:38-13880,runattr,,,seedset,7,
scenario_100-7-20210826-14:48:38-13880,param,,,**.aircraft[*].mobility.constraintAreaMinX,0m,
scenario_100-7-20210826-14:48:38-13880,param,,,**.aircraft[*].mobility.constraintAreaMaxX,3000000m,
scenario_100-7-20210826-14:48:38-13880,param,,,**.aircraft[*].mobility.constraintAreaMinY,0m,
scenario_100-7-20210826-14:48:38-13880,param,,,**.aircraft[*].mobility.constraintAreaMaxY,1000000m,
scenario_100-7-20210826-14:48:38-13880,param,,,**.aircraft[*].mobility.constraintAreaMinZ,0m,
scenario_100-7-20210826-14:48:38-13880,param,,,**.aircraft[*].mobility.constraintAreaMaxZ,18000m,
scenario_100-7-20210826-14:48:38-13880,param,,,**.aircraft[*].mobility.typename,"""BonnMotionMobility""",
scenario_100-7-20210826-14:48:38-13880,param,,,**.aircraft[*].mobility.traceFile,"""Simulation_data_100_aircraft/mobility.txt""",
scenario_100-7-20210826-14:48:38-13880,param,,,**.aircraft[*].mobility.is3D,true,
scenario_100-7-20210826-14:48:38-13880,param,,,**.aircraft[*].mobility.nodeId,-1,
scenario_100-7-20210826-14:48:38-13880,param,,,*.scenarioManager.script,"xmldoc(""Simulation_data_100_aircraft/scenario.xml"")",
scenario_100-7-20210826-14:48:38-13880,param,,,**.ipv4.arp.typename,"""GlobalArp""",
scenario_100-7-20210826-14:48:38-13880,param,,,**.**.bitrate,100Mbps,
scenario_100-7-20210826-14:48:38-13880,param,,,**.configurator.typename,"""HostAutoConfigurator""",
scenario_100-7-20210826-14:48:38-13880,param,,,**.configurator.interfaces,"""wlan0""",
scenario_100-7-20210826-14:48:38-13880,param,,,**.wlan[0].radio.transmitter.communicationRange,800000m,
scenario_100-7-20210826-14:48:38-13880,param,,,**.wlan[0].radio.receiver.ignoreInterference,true,
scenario_100-7-20210826-14:48:38-13880,param,,,**.wlan[*].radio.transmitter.interferenceRange,0m,
scenario_100-7-20210826-14:48:38-13880,param,,,**.wlan[*].radio.transmitter.detectionRange,800000m,
scenario_100-7-20210826-14:48:38-13880,param,,,**.wlan[0].radio.typename,"""TraceBasedRadio""",
scenario_100-7-20210826-14:48:38-13880,param,,,**.wlan[0].radio.receiver.Receiver_bandwidth_in_KHz,500,
scenario_100-7-20210826-14:48:38-13880,param,,,**.wlan[0].radio.receiver.Tx_power,42,
scenario_100-7-20210826-14:48:38-13880,param,,,**.wlan[0].radio.receiver.Tx_antenna_gain,3,
scenario_100-7-20210826-14:48:38-13880,param,,,**.wlan[0].radio.receiver.Rx_antenna_gain,3,
scenario_100-7-20210826-14:48:38-13880,param,,,**.wlan[0].radio.receiver.Tx_loss,4,
scenario_100-7-20210826-14:48:38-13880,param,,,**.wlan[0].radio.receiver.Rx_loss,4,
scenario_100-7-20210826-14:48:38-13880,param,,,**.wlan[0].radio.receiver.Noise_figure,6,
scenario_100-7-20210826-14:48:38-13880,param,,,**.wlan[0].radio.receiver.Thermal_noise_density,-174,
scenario_100-7-20210826-14:48:38-13880,param,,,**.wlan[0].radio.receiver.frequency,960,
scenario_100-7-20210826-14:48:38-13880,param,,,**.wlan[0].radio.receiver.SNR_margin,0,
scenario_100-7-20210826-14:48:38-13880,param,,,**.wlan[0].radio.receiver.errorModel.TraceFileName,"""per_snr.txt""",
scenario_100-7-20210826-14:48:38-13880,param,,,**.wlan[*].typename,"""TdmaInterface""",
scenario_100-7-20210826-14:48:38-13880,param,,,**.slotDuration,2ms,
scenario_100-7-20210826-14:48:38-13880,param,,,**.frameLength,10,
scenario_100-7-20210826-14:48:38-13880,param,,,**.wlan[*].mac.headerLength,23B,
scenario_100-7-20210826-14:48:38-13880,param,,,**.wlan[*].mac.ackTimeout,1.99ms,
scenario_100-7-20210826-14:48:38-13880,param,,,**.wlan[*].mac.numRetries,0,
scenario_100-7-20210826-14:48:38-13880,param,,,**.rlc.typename,"""DummyRlc""",
scenario_100-7-20210826-14:48:38-13880,param,,,*.aircraft[*].numApps,1,
scenario_100-7-20210826-14:48:38-13880,param,,,*.aircraft[*].app[*].typename,"""UdpTraceBasedApp""",
scenario_100-7-20210826-14:48:38-13880,param,,,*.aircraft[*].app[0].destAddresses,"""groundStation""",
scenario_100-7-20210826-14:48:38-13880,param,,,*.aircraft[*].app[0].traceFile,"""Simulation_data_100_aircraft/data-traffic/data_aircraft_"" + string(parentIndex()) + "".csv""",
scenario_100-7-20210826-14:48:38-13880,param,,,*.aircraft[*].app[0].destPort,1000,
scenario_100-7-20210826-14:48:38-13880,param,,,*.aircraft[*].app[0].messageLength,1000B,
scenario_100-7-20210826-14:48:38-13880,param,,,*.groundStation.numApps,1,
scenario_100-7-20210826-14:48:38-13880,param,,,*.groundStation.app[*].typename,"""UdpSink""",
scenario_100-7-20210826-14:48:38-13880,param,,,*.groundStation.app[*].localPort,1000,
scenario_100-5-20210826-14:48:37-20776,runattr,,,configname,scenario_100,
scenario_100-5-20210826-14:48:37-20776,runattr,,,datetime,20210826-14:48:37,
scenario_100-5-20210826-14:48:37-20776,runattr,,,experiment,scenario_100,
scenario_100-5-20210826-14:48:37-20776,runattr,,,inifile,omnet-summit.ini,
scenario_100-5-20210826-14:48:37-20776,runattr,,,iterationvars,,
scenario_100-5-20210826-14:48:37-20776,runattr,,,iterationvarsf,,
scenario_100-5-20210826-14:48:37-20776,runattr,,,measurement,,
scenario_100-5-20210826-14:48:37-20776,runattr,,,network,example_simulation,
scenario_100-5-20210826-14:48:37-20776,runattr,,,processid,20776,
scenario_100-5-20210826-14:48:37-20776,runattr,,,repetition,5,
scenario_100-5-20210826-14:48:37-20776,runattr,,,replication,#5,
scenario_100-5-20210826-14:48:37-20776,runattr,,,resultdir,results,
scenario_100-5-20210826-14:48:37-20776,runattr,,,runnumber,5,
scenario_100-5-20210826-14:48:37-20776,runattr,,,seedset,5,
scenario_100-5-20210826-14:48:37-20776,param,,,**.aircraft[*].mobility.constraintAreaMinX,0m,
scenario_100-5-20210826-14:48:37-20776,param,,,**.aircraft[*].mobility.constraintAreaMaxX,3000000m,
scenario_100-5-20210826-14:48:37-20776,param,,,**.aircraft[*].mobility.constraintAreaMinY,0m,
scenario_100-5-20210826-14:48:37-20776,param,,,**.aircraft[*].mobility.constraintAreaMaxY,1000000m,
scenario_100-5-20210826-14:48:37-20776,param,,,**.aircraft[*].mobility.constraintAreaMinZ,0m,
scenario_100-5-20210826-14:48:37-20776,param,,,**.aircraft[*].mobility.constraintAreaMaxZ,18000m,
scenario_100-5-20210826-14:48:37-20776,param,,,**.aircraft[*].mobility.typename,"""BonnMotionMobility""",
scenario_100-5-20210826-14:48:37-20776,param,,,**.aircraft[*].mobility.traceFile,"""Simulation_data_100_aircraft/mobility.txt""",
scenario_100-5-20210826-14:48:37-20776,param,,,**.aircraft[*].mobility.is3D,true,
scenario_100-5-20210826-14:48:37-20776,param,,,**.aircraft[*].mobility.nodeId,-1,
scenario_100-5-20210826-14:48:37-20776,param,,,*.scenarioManager.script,"xmldoc(""Simulation_data_100_aircraft/scenario.xml"")",
scenario_100-5-20210826-14:48:37-20776,param,,,**.ipv4.arp.typename,"""GlobalArp""",
scenario_100-5-20210826-14:48:37-20776,param,,,**.**.bitrate,100Mbps,
scenario_100-5-20210826-14:48:37-20776,param,,,**.configurator.typename,"""HostAutoConfigurator""",
scenario_100-5-20210826-14:48:37-20776,param,,,**.configurator.interfaces,"""wlan0""",
scenario_100-5-20210826-14:48:37-20776,param,,,**.wlan[0].radio.transmitter.communicationRange,800000m,
scenario_100-5-20210826-14:48:37-20776,param,,,**.wlan[0].radio.receiver.ignoreInterference,true,
scenario_100-5-20210826-14:48:37-20776,param,,,**.wlan[*].radio.transmitter.interferenceRange,0m,
scenario_100-5-20210826-14:48:37-20776,param,,,**.wlan[*].radio.transmitter.detectionRange,800000m,
scenario_100-5-20210826-14:48:37-20776,param,,,**.wlan[0].radio.typename,"""TraceBasedRadio""",
scenario_100-5-20210826-14:48:37-20776,param,,,**.wlan[0].radio.receiver.Receiver_bandwidth_in_KHz,500,
scenario_100-5-20210826-14:48:37-20776,param,,,**.wlan[0].radio.receiver.Tx_power,42,
scenario_100-5-20210826-14:48:37-20776,param,,,**.wlan[0].radio.receiver.Tx_antenna_gain,3,
scenario_100-5-20210826-14:48:37-20776,param,,,**.wlan[0].radio.receiver.Rx_antenna_gain,3,
scenario_100-5-20210826-14:48:37-20776,param,,,**.wlan[0].radio.receiver.Tx_loss,4,
scenario_100-5-20210826-14:48:37-20776,param,,,**.wlan[0].radio.receiver.Rx_loss,4,
scenario_100-5-20210826-14:48:37-20776,param,,,**.wlan[0].radio.receiver.Noise_figure,6,
scenario_100-5-20210826-14:48:37-20776,param,,,**.wlan[0].radio.receiver.Thermal_noise_density,-174,
scenario_100-5-20210826-14:48:37-20776,param,,,**.wlan[0].radio.receiver.frequency,960,
scenario_100-5-20210826-14:48:37-20776,param,,,**.wlan[0].radio.receiver.SNR_margin,0,
scenario_100-5-20210826-14:48:37-20776,param,,,**.wlan[0].radio.receiver.errorModel.TraceFileName,"""per_snr.txt""",
scenario_100-5-20210826-14:48:37-20776,param,,,**.wlan[*].typename,"""TdmaInterface""",
scenario_100-5-20210826-14:48:37-20776,param,,,**.slotDuration,2ms,
scenario_100-5-20210826-14:48:37-20776,param,,,**.frameLength,10,
scenario_100-5-20210826-14:48:37-20776,param,,,**.wlan[*].mac.headerLength,23B,
scenario_100-5-20210826-14:48:37-20776,param,,,**.wlan[*].mac.ackTimeout,1.99ms,
scenario_100-5-20210826-14:48:37-20776,param,,,**.wlan[*].mac.numRetries,0,
scenario_100-5-20210826-14:48:37-20776,param,,,**.rlc.typename,"""DummyRlc""",
scenario_100-5-20210826-14:48:37-20776,param,,,*.aircraft[*].numApps,1,
scenario_100-5-20210826-14:48:37-20776,param,,,*.aircraft[*].app[*].typename,"""UdpTraceBasedApp""",
scenario_100-5-20210826-14:48:37-20776,param,,,*.aircraft[*].app[0].destAddresses,"""groundStation""",
scenario_100-5-20210826-14:48:37-20776,param,,,*.aircraft[*].app[0].traceFile,"""Simulation_data_100_aircraft/data-traffic/data_aircraft_"" + string(parentIndex()) + "".csv""",
scenario_100-5-20210826-14:48:37-20776,param,,,*.aircraft[*].app[0].destPort,1000,
scenario_100-5-20210826-14:48:37-20776,param,,,*.aircraft[*].app[0].messageLength,1000B,
scenario_100-5-20210826-14:48:37-20776,param,,,*.groundStation.numApps,1,
scenario_100-5-20210826-14:48:37-20776,param,,,*.groundStation.app[*].typename,"""UdpSink""",
scenario_100-5-20210826-14:48:37-20776,param,,,*.groundStation.app[*].localPort,1000,
scenario_100-2-20210826-14:48:07-19048,runattr,,,configname,scenario_100,
scenario_100-2-20210826-14:48:07-19048,runattr,,,datetime,20210826-14:48:07,
scenario_100-2-20210826-14:48:07-19048,runattr,,,experiment,scenario_100,
scenario_100-2-20210826-14:48:07-19048,runattr,,,inifile,omnet-summit.ini,
scenario_100-2-20210826-14:48:07-19048,runattr,,,iterationvars,,
scenario_100-2-20210826-14:48:07-19048,runattr,,,iterationvarsf,,
scenario_100-2-20210826-14:48:07-19048,runattr,,,measurement,,
scenario_100-2-20210826-14:48:07-19048,runattr,,,network,example_simulation,
scenario_100-2-20210826-14:48:07-19048,runattr,,,processid,19048,
scenario_100-2-20210826-14:48:07-19048,runattr,,,repetition,2,
scenario_100-2-20210826-14:48:07-19048,runattr,,,replication,#2,
scenario_100-2-20210826-14:48:07-19048,runattr,,,resultdir,results,
scenario_100-2-20210826-14:48:07-19048,runattr,,,runnumber,2,
scenario_100-2-20210826-14:48:07-19048,runattr,,,seedset,2,
scenario_100-2-20210826-14:48:07-19048,param,,,**.aircraft[*].mobility.constraintAreaMinX,0m,
scenario_100-2-20210826-14:48:07-19048,param,,,**.aircraft[*].mobility.constraintAreaMaxX,3000000m,
scenario_100-2-20210826-14:48:07-19048,param,,,**.aircraft[*].mobility.constraintAreaMinY,0m,
scenario_100-2-20210826-14:48:07-19048,param,,,**.aircraft[*].mobility.constraintAreaMaxY,1000000m,
scenario_100-2-20210826-14:48:07-19048,param,,,**.aircraft[*].mobility.constraintAreaMinZ,0m,
scenario_100-2-20210826-14:48:07-19048,param,,,**.aircraft[*].mobility.constraintAreaMaxZ,18000m,
scenario_100-2-20210826-14:48:07-19048,param,,,**.aircraft[*].mobility.typename,"""BonnMotionMobility""",
scenario_100-2-20210826-14:48:07-19048,param,,,**.aircraft[*].mobility.traceFile,"""Simulation_data_100_aircraft/mobility.txt""",
scenario_100-2-20210826-14:48:07-19048,param,,,**.aircraft[*].mobility.is3D,true,
scenario_100-2-20210826-14:48:07-19048,param,,,**.aircraft[*].mobility.nodeId,-1,
scenario_100-2-20210826-14:48:07-19048,param,,,*.scenarioManager.script,"xmldoc(""Simulation_data_100_aircraft/scenario.xml"")",
scenario_100-2-20210826-14:48:07-19048,param,,,**.ipv4.arp.typename,"""GlobalArp""",
scenario_100-2-20210826-14:48:07-19048,param,,,**.**.bitrate,100Mbps,
scenario_100-2-20210826-14:48:07-19048,param,,,**.configurator.typename,"""HostAutoConfigurator""",
scenario_100-2-20210826-14:48:07-19048,param,,,**.configurator.interfaces,"""wlan0""",
scenario_100-2-20210826-14:48:07-19048,param,,,**.wlan[0].radio.transmitter.communicationRange,800000m,
scenario_100-2-20210826-14:48:07-19048,param,,,**.wlan[0].radio.receiver.ignoreInterference,true,
scenario_100-2-20210826-14:48:07-19048,param,,,**.wlan[*].radio.transmitter.interferenceRange,0m,
scenario_100-2-20210826-14:48:07-19048,param,,,**.wlan[*].radio.transmitter.detectionRange,800000m,
scenario_100-2-20210826-14:48:07-19048,param,,,**.wlan[0].radio.typename,"""TraceBasedRadio""",
scenario_100-2-20210826-14:48:07-19048,param,,,**.wlan[0].radio.receiver.Receiver_bandwidth_in_KHz,500,
scenario_100-2-20210826-14:48:07-19048,param,,,**.wlan[0].radio.receiver.Tx_power,42,
scenario_100-2-20210826-14:48:07-19048,param,,,**.wlan[0].radio.receiver.Tx_antenna_gain,3,
scenario_100-2-20210826-14:48:07-19048,param,,,**.wlan[0].radio.receiver.Rx_antenna_gain,3,
scenario_100-2-20210826-14:48:07-19048,param,,,**.wlan[0].radio.receiver.Tx_loss,4,
scenario_100-2-20210826-14:48:07-19048,param,,,**.wlan[0].radio.receiver.Rx_loss,4,
scenario_100-2-20210826-14:48:07-19048,param,,,**.wlan[0].radio.receiver.Noise_figure,6,
scenario_100-2-20210826-14:48:07-19048,param,,,**.wlan[0].radio.receiver.Thermal_noise_density,-174,
scenario_100-2-20210826-14:48:07-19048,param,,,**.wlan[0].radio.receiver.frequency,960,
scenario_100-2-20210826-14:48:07-19048,param,,,**.wlan[0].radio.receiver.SNR_margin,0,
scenario_100-2-20210826-14:48:07-19048,param,,,**.wlan[0].radio.receiver.errorModel.TraceFileName,"""per_snr.txt""",
scenario_100-2-20210826-14:48:07-19048,param,,,**.wlan[*].typename,"""TdmaInterface""",
scenario_100-2-20210826-14:48:07-19048,param,,,**.slotDuration,2ms,
scenario_100-2-20210826-14:48:07-19048,param,,,**.frameLength,10,
scenario_100-2-20210826-14:48:07-19048,param,,,**.wlan[*].mac.headerLength,23B,
